OBJECTID,Number,Liik,Tyyp,Nimi,Era_avalik,Kate,Soidutee_lai,Talihooldus,Valgustatud,Shape__Length,GlobalID
28785,,15,1,Ringtee,2,19,3.9,1,1,5.60802995712398,{9796305B-3914-4AB5-A964-4A00F823E4C5}
28787,,15,14,Ringtee,2,19,3.4,1,1,9.90501870321586,{EE3AD708-9EB1-4EFF-8D6E-9D338B80C586}
28792,,15,1,Ringtee,2,19,3.4,1,1,194.118133297429,{AF2FF6FE-EDB5-4172-8758-30E3F40C1986}
28796,,15,1,Ringtee,2,19,3.4,1,1,106.860656932287,{30447BCE-F58C-489C-94B8-D1966D725755}
28798,,15,1,Ringtee,2,19,3.4,1,1,3.10644491340181,{B93F5A01-82CB-49A9-82BB-674AA977E04B}
28802,,15,1,Ringtee,2,19,3.4,1,1,2.81602556806574,{58C35FD2-9CB3-4919-A8DA-B34F1200D5BA}
28803,,15,13,Tähe,2,19,3.4,1,1,15.7103086090482,{371FAD3C-1BBE-4232-93DB-8C58DB97559E}
28806,,15,1,Ringtee,2,19,3.4,1,1,5.50363516232681,{2181045A-AB22-40DD-BD43-00E2527874C9}
28813,,15,1,Ringtee,2,19,4.8,1,1,55.0502284333895,{2638AF88-FEF4-490C-83B7-57C745EC8F76}
28814,,15,1,Ringtee,2,19,3.4,1,1,79.0427732307009,{E67FEAC3-6B88-4F90-AD1E-0F61BFD84000}
28815,,15,14,Ringtee,2,19,3.4,1,1,7.21110255092798,{A7E8C55C-D4E9-4B57-8F2C-8F8BD95AA0CA}
28818,,15,1,Ringtee,2,10,3.5,1,1,6.00333240792145,{9813AC65-5440-42D2-B2EF-E5C5F97454DF}
28819,,15,14,Ringtee,2,19,4.8,1,1,4.74341649025257,{BC2D820C-9F77-44A4-B8D2-4255C610EA54}
28820,,15,1,Ringtee,2,19,3.4,1,1,152.584740605602,{89CC5B5C-BDFA-4033-B32F-7306C65E8638}
28825,,15,1,Ringtee,2,19,3.4,1,1,44.3876481098454,{BB679B42-FCCA-4EFC-9066-8E071BEE62DD}
28826,,15,14,Ringtee,2,19,3.4,1,1,10.6165712407615,{A7909699-237F-49B7-B30E-AE438E78097A}
28834,,15,1,Ringtee,2,19,4.8,1,1,67.7322125027483,{60A5841F-F399-4F79-A366-749CF3C0A4F8}
28841,,15,14,Ringtee,2,19,4.8,1,1,18.9278729316765,{9215B8F1-524C-45A3-B6D3-878A69F14E83}
28844,,15,14,Ringtee,2,19,4.8,1,1,5.6302753041037,{85AF314B-EC6E-41CF-B0F8-5DBC383AA19D}
28845,,15,1,Võru,2,19,3.6,1,1,19.9424171052558,{C5941B06-D865-49F8-BF46-FE938947BA24}
28847,,15,1,Ringtee,2,19,3.4,1,1,93.2991425469709,{935DCF09-F4F6-43A3-8D42-1FB518133E15}
28848,,15,14,Ringtee,2,19,3.4,1,1,7.61051903617618,{B9F5EED9-012C-490E-92F4-F4613DDED1BC}
28858,,15,13,Võru,2,19,3.6,1,1,7.42188743678485,{69C532E5-D8A3-4D1A-8242-D39A56C228CA}
28859,,15,1,Ringtee,2,19,4.8,1,1,22.8186327373048,{29BECE88-3685-4E7F-B42A-05311AB19856}
28860,,15,1,Turu,2,10,2.8,0,1,91.1833182519618,{F3B804CE-021D-4F6A-8AB3-6E3CF0A86AFA}
28861,,15,1,Ringtee,2,19,3.4,1,1,75.583545411277,{4D465E7D-1412-478F-9502-832670093FB4}
28862,,15,14,Ringtee,2,19,3.4,1,1,7.30587727318528,{27833E10-A56C-4B43-9FD5-4A7731E830A0}
28865,,15,1,Ringtee,2,19,3.4,1,1,7.31710325197069,{2E71C2EB-CE75-42B4-99F7-2766BD8EE917}
28867,,15,14,Ringtee,2,19,4.8,1,1,9.22351400246331,{12D5ED82-E295-415D-B7CF-99069E0FF8DE}
28868,,15,13,Ringtee,2,19,3.4,1,1,15.7172824643963,{9E77A765-2B65-4DB1-BAA4-11D8B846DD48}
28877,,15,1,Ringtee,2,19,4.8,1,1,10.679419459877,{D760291E-4778-417C-B167-1A21A722785E}
28880,,15,14,Ringtee,2,19,4.8,1,1,9.3541083866389,{A38D4E93-3A6B-4DAD-9DE5-7521F23ECBB2}
28888,,15,1,Ringtee,2,19,3.4,1,1,106.20168784168,{935A6CDF-45FF-467C-9E90-15624208FEE5}
28889,,15,14,Ringtee,2,19,3.4,1,1,7.30730485571182,{B800A50E-BD50-4962-9AF9-481CF7279E7D}
28895,,15,1,Ringtee,2,19,3.4,1,1,82.7174709477992,{3DB612BA-1D45-4AE6-B7CE-C0C6B1B6CC34}
28896,,16,1,<Null>,3,10,3,0,,29.0833285577838,{D61877D1-A3FB-4610-83E6-52E5B5D8C1DE}
28897,,15,1,Võru,2,19,3.6,1,1,3.80131556174964,{F255A7D5-82BA-488F-900C-6352EF8406E8}
28898,,15,1,Ringtee,2,19,3.4,1,1,5.52268050859363,{EDA0C869-534E-46A5-BDC8-A1902B5948FC}
28899,,15,1,Ringtee,2,19,3.4,1,1,24.9517215652625,{F53823F2-BE45-48A5-9CCA-1056E01D3491}
28905,,15,13,Ringtee,2,19,3.9,1,1,33.0982222008894,{98E069F7-2F2D-4BEC-9F04-2990A8FADB6F}
28906,,15,1,Ringtee,2,19,4.8,1,1,66.6937028511688,{597C8069-CCD3-438D-8DF2-02D97CFD4A95}
28909,,15,14,Ringtee,2,19,4.8,1,1,7.14738998312731,{C4E9022C-736D-4A32-B635-DF94D631B430}
28918,,15,1,Ringtee,2,19,4.8,1,1,37.5413579442146,{1DA86670-42A3-48EA-88BC-195FD2ABDCB5}
28919,,15,14,Ringtee,2,19,4.8,1,1,7.11182371050918,{694987A3-215B-41E1-8509-0F8DD74F54ED}
28920,,15,13,Jalaka,2,10,0,1,1,12.300769185258,{DEED386B-8A38-44BC-90FB-04DDB035CB81}
28923,,15,1,Ringtee,2,19,4.8,1,1,65.9690791457042,{815E69EE-6072-4EB1-93E3-E6EDBD9441E4}
28926,,15,1,Ringtee,2,19,3.9,1,1,6.66108099335235,{2F767EC0-C111-4D47-ADDB-B454F2DB370F}
28927,,15,1,Ringtee,2,10,3.5,1,1,6.44980619863884,{D7A28DA2-7263-43FD-950D-E0D326C6287A}
28935,,15,1,Ringtee,1,10,3.5,0,1,4.83011387029333,{38702897-08BA-4699-B48F-CD20022DB98D}
28936,,15,13,Ringtee,2,10,0,1,1,33.6170248127068,{C9F9504B-24FB-4B1B-AABE-4BE2C52F7B2E}
28937,,15,11,Ringtee,1,10,3.5,0,1,23.6101954778736,{744FD985-0F0D-4938-ADE0-C26A1B9DB297}
28939,,15,1,Ringtee,2,19,3.4,1,1,14.5065502446309,{54D3C4D7-525C-4B09-8CBB-25422A9A877B}
28950,,15,1,Ringtee,2,10,3.5,1,1,5.3084837759948,{CD5F2D54-79EC-4304-9543-D045D3DB0F92}
28952,,15,1,Ringtee,2,10,3.5,1,1,5.90762219509677,{8BC79A06-9568-40EF-9F01-9E6B4AF92DF0}
28953,,15,13,Tähe,2,10,0,1,1,16.1081763876297,{3E1AE57C-F4FE-4B57-9215-266C1E430E55}
28957,,15,14,Ringtee,2,10,0,1,1,8.30444225182208,{C07FF895-C3F7-4324-B7BF-13D9F2E21219}
28960,,15,1,Ringtee,2,10,3.5,1,1,27.8389423922713,{ABACCD53-6D5F-40D0-8A3B-4415C44880CA}
28961,,15,1,Ringtee,2,10,3.5,1,1,70.5228165425102,{C202F927-D061-4CA1-B07B-D1A74A1D97BE}
28962,,15,1,Võru,2,10,3.1,1,1,154.486009087237,{81473ECC-8419-466E-97AF-F4638158E72D}
28963,,15,11,Võru,2,10,3.5,1,1,21.5951501268255,{DC01D261-1DD6-4B7E-9A15-1E174D630BC0}
28964,,15,1,Ringtee,1,10,3.5,0,1,51.6611722624222,{BEBFE22C-1C4F-4058-997C-BBA72462ADFE}
28967,,15,1,Ringtee,2,10,3.5,1,1,141.694265512169,{37C51355-497F-424A-89B9-632532CB6D27}
28969,,15,1,Ringtee,2,10,3.5,1,1,4.00499687890016,{7C6A7264-B53A-4E49-BDEA-8E079E4404CD}
28970,,15,14,Ringtee,2,10,0,1,1,7.10142828000232,{F88F120E-3031-40D4-A37D-DDA07BDAF80C}
28975,,15,1,Ringtee,2,10,3.5,1,1,4,{B55C12EB-0F96-4C0E-949F-0AF9C5A3C3F0}
28976,,15,1,Võru,2,10,3.4,1,1,262.080245045365,{BF53B405-DF77-47CF-B5ED-5E59737B2EF7}
28980,,15,1,Ringtee,2,10,3.5,1,1,164.207108920188,{F1EA57C5-CEE4-42D9-BDD2-6153D4B1E44C}
28981,,15,1,Ringtee,2,10,3.5,1,1,7.1505244562899,{7A367A2B-AD07-4634-A085-C89C7A05F353}
28985,,15,1,Ringtee,2,10,3.5,1,1,56.3600035486159,{A3B4996F-3E35-4004-903D-D9BBBD54A44E}
28986,,15,14,,2,10,0,1,1,5.70688837074973,{35F96D87-E21C-4849-940D-75A715D91774}
28989,,15,1,Ringtee,1,10,3.5,1,1,37.5003872300935,{BF6BA2C1-9A82-4BD4-8C9C-C9F800ED2F0E}
28990,,15,11,Ringtee,1,10,3.5,1,1,5.64555197392945,{742463DE-ADC5-4FD0-8447-6B7672BC6963}
28992,,15,1,Ringtee,2,10,3.5,1,1,63.0739674976671,{98BA89A1-BA0B-4AE1-ADEB-B230AAEC3EAE}
28996,,15,1,Ringtee,2,10,3.5,1,1,85.63089395773,{1ACB3740-9D61-4438-92A2-E5548A19144E}
28998,,15,14,Ringtee,2,10,0,1,1,6.61211010192662,{F8511579-7A84-4E67-A8F8-ECAD31CA3161}
29003,,15,1,Ringtee,2,10,3.5,1,1,41.420405599173,{D0272AC2-7B0C-433C-8471-753BEA5DF35B}
29004,,15,14,Ringtee,2,10,0,1,1,6.00869588824006,{7FAAFA06-7271-4A25-B2D0-7BBCDFD316F0}
29012,,15,1,Lõõtsa,3,19,4.1,0,1,11.9016805536025,{F769C17A-14DD-4CBD-918F-EFE26526C79F}
29013,,15,13,Ringtee,2,19,3.6,1,1,20.913489536431,{54FEBF59-6DF7-4354-8530-61E5794C3BA3}
29017,,15,1,Ringtee,2,10,3.5,1,1,67.3392942089974,{E875E2E3-4AF5-4F0C-84EA-5FAC4B4808DC}
29018,,15,14,Ringtee,2,10,0,1,1,7.1113145690514,{45EE2308-3D95-4CEF-AA25-BED7DDA118A2}
29026,,15,1,Ringtee,2,10,3.5,1,1,205.402623637267,{6BE1F328-956C-4DD4-9DA9-22FDED79DC46}
29028,,15,1,Ringtee,2,10,3.5,1,1,113.345005931639,{A3394CDD-812C-4D07-80A8-26CB8F411BA0}
29030,,15,14,Ringtee,2,10,0,1,1,6.98714050595579,{4406022E-F3E9-42D7-A972-6BF05ED27EF1}
29031,,15,14,Ringtee,2,10,0,1,1,7.40525951808809,{591007BA-FBE2-4ACE-9638-2B4835EE46A7}
29034,,15,1,Ringtee,2,10,3.5,1,1,17.7070607385867,{6111E872-C1C7-4CD1-9D8F-2452B5B70F62}
29035,,15,14,Ringtee,2,10,0,1,1,8.10131556174964,{3084BE49-0C40-4B2C-9ED4-8C49914533B1}
29045,,15,1,Ringtee,2,10,3.5,1,1,23.5771075410026,{07C36005-FDAF-461B-856C-3A64590A2038}
29049,,15,14,Ringtee,2,10,0,1,1,8.10501058354302,{D1559193-866E-4773-82BE-0C0401E9F813}
29059,,16,1,Tähe,2,10,3,0,,22.8140307705587,{34FEA74C-9AE6-4FF7-8680-309A5E1F684B}
29065,,16,1,Ringtee J 12,0,10,3,0,,59.0305852927108,{BED959E1-8264-4429-87E5-2BB9D820BB96}
29068,,15,1,Ringtee,2,10,3.5,1,1,48.0130190677487,{D4C39D53-B369-4249-BB45-8989320F6650}
29072,,15,14,Ringtee,2,10,0,1,1,7.15707949424363,{00498F06-0DF7-4D76-8F4F-4CF0C4F69241}
29076,,16,1,Ringtee J 12,3,10,3,0,,41.6203075433135,{10E0A610-8D81-4B82-8BFB-08F480E27658}
29078,,16,1,Ringtee J 12,3,10,3,0,,92.3390541617168,{E90276F8-DCD8-4175-9B91-27ADBFEAFFBE}
29082,,15,1,Ringtee,2,19,3.8,1,1,634.165441289826,{FBB8BA2D-3584-45F3-B541-EE043D3B5427}
29087,,15,1,Ringtee,2,10,3.5,1,1,42.921439864012,{053ED60E-D7E1-4CB4-82A9-FD0CB3F204CD}
29089,,15,14,Ringtee,2,10,0,1,1,5.80879997348437,{583584D2-B6E4-495B-B45B-71371DE01BD0}
29093,,15,1,Ringtee,2,10,3.5,1,1,88.5347139785761,{63BE19E9-64DD-4C10-830A-1BE30447777E}
29094,,15,1,Ringtee,2,19,3.6,1,1,30.1199269587428,{FE59386C-B156-41EF-A16C-80604958E809}
29106,,15,11,Ringtee,1,10,3.5,0,1,5.84338981108246,{63BFEC3E-D21B-45D1-A3F9-2991E7A9CE81}
29111,,15,1,Ringtee,1,10,3.5,0,1,20.7230051760436,{DB2EB12B-7F5A-4AF9-9343-F67D2805BC13}
29112,,15,11,Võru,2,10,3.5,1,1,21.4852167706898,{FFAF9C8D-9FD1-40B4-B669-66C1AB4E2874}
29114,,15,13,<Null>,2,10,0,0,1,2.87923600977759,{C3FF4063-1C22-45DA-8815-31A46D645479}
29115,,15,13,<Null>,2,10,0,0,1,2.50798724079689,{82527038-A83E-4F52-9EB2-0EA088DD26ED}
29117,,15,13,<Null>,2,10,0,0,1,8.14437347932286,{65BE2118-DA19-41AC-83F9-5555CE54C662}
29118,,15,1,Ringtee,2,10,3.5,1,1,13.1473955566992,{2F35975B-F58C-4CFD-8A22-1768136D263C}
29119,,15,1,Ringtee,2,10,3.5,1,1,39.4410953194761,{1BAA296C-06B3-4290-8F44-9CC746F06AE3}
29128,,15,1,Ringtee,1,10,3.5,0,1,36.8774477763918,{2996109D-7704-4C8C-AEB3-151607C62D8E}
29141,,15,13,<Null>,1,10,0,0,1,14.4229131386856,{85449CC3-60C9-452F-96D3-06D9F46B7024}
29150,,15,1,Ringtee,2,10,3.5,1,1,69.7354163599182,{B83245D6-FFBF-4F89-8E0C-A972C0760096}
29158,,15,1,Ringtee,2,10,3.5,1,1,67.7439124720624,{B81201F6-C509-4948-880A-C3B122D7F499}
29163,,15,1,Ringtee,2,10,3.5,1,1,194.918982749261,{672F4E8B-7287-42C7-B5C1-D28679635E1A}
29165,,16,1,Ringtee J 2,2,10,3,0,,21.6030602688525,{38725362-6D9C-46C9-8014-A7559691F331}
29175,,15,1,Võru,2,10,3.1,1,1,17.0040509626383,{2D697544-A616-4CED-9B59-9E993C82A512}
29181,,15,1,Ringtee,1,10,3.5,0,1,699.186400234042,{2F6F8DD0-D708-47C8-9A82-3B31CA6DEA6F}
29189,,15,1,Turu,2,19,3.6,1,1,94.1664283774903,{2763F137-0686-4B6A-9A26-E8031F9502E3}
29203,,15,1,Ringtee,1,10,3.5,0,1,1028.30642616582,{8D7E98C0-2972-4FA5-AC84-8EE57AEB21D1}
29205,,15,13,Ringtee,2,10,3.1,1,1,16.3237751643047,{B8615C6A-A0F5-4605-8251-8AE2DC462162}
29211,,15,14,Turu,2,19,3.6,1,1,7.7,{12EE99ED-9A10-4033-A1EF-28470AC365B8}
29218,,15,1,Võru,2,10,3.4,1,1,44.7096142058059,{79527AD7-CC28-4EA0-AA79-2F7ED9BD432A}
29223,,16,1,<Null>,0,10,3,0,,12.986916493148,{CCB231BA-7948-428B-847A-BA8DD3ADD73E}
29226,,15,1,Võru,2,10,3.1,1,1,8.7091905479212,{CE257CCE-07A4-4BD9-8EC1-E2D082E6D49D}
29227,,15,1,Ringtee,2,10,3.5,1,1,73.6604062555426,{F8DFA426-DB97-48D4-AEB2-4872ACC64FC3}
29245,,16,1,Tähe,2,10,3,0,,124.081626359425,{4635544B-2A16-47D9-A483-ACEA8E9D2217}
29270,,15,1,Võru,2,10,3.1,1,1,32.8333551203785,{F329BE53-167C-478C-95F8-9D0DDFE19DDF}
29272,,15,1,Võru,2,10,3.4,1,1,39.4689134931006,{253F9C7D-677B-4BC5-9993-E064413AE70B}
29274,,16,1,Tähe,2,10,3,0,,18.513238506539,{20741041-3C35-4A0C-93EB-36F686CD3F18}
29275,,15,1,Turu,2,19,3.6,1,1,39.891477786615,{2DAD6412-3791-4EA1-8FEC-7CDD983E4019}
29283,,16,1,Ringtee - Voolu,0,15,3,0,,29.9481218108916,{1415877C-621D-4106-BA52-FE18A3BC19FF}
29296,,15,1,Kesa põik,1,10,2.7,1,1,65.3046511247515,{E3718EF2-BB6A-4F7D-AB1A-07B1F847BF7D}
29329,,15,1,Turu,2,13,3.5,1,1,52.064959425702,{6C0402C9-E0B8-4CBE-9E43-3BDC7B5BF39E}
29336,,15,1,Ringtee,1,10,3.5,0,1,164.792724840886,{53D018DF-7E86-42C7-85DF-07F67B05F992}
29343,,15,1,Võru,2,10,3.1,1,1,59.8847489149713,{9F636E0C-5534-4757-B12A-AA583EA9BC10}
29344,,16,1,Võru J 242,0,10,3,0,,21.6363120702212,{7713F2AF-675C-4EA8-9D3B-17B071363DD6}
29345,,15,1,Võru,2,10,3.4,1,1,58.5257083763601,{9B23EFD0-0C80-4A8D-B2A6-EFCBA7AE1158}
29354,,16,1,Võru J 167,0,10,3,0,,26.4705496731745,{5FEF4B4D-550B-438B-8CCE-59A0A1219EED}
29382,,15,1,Võru,2,10,3.1,1,1,15.4547727256016,{94BA2CB7-5EC8-40D1-9564-1AB398180E68}
29383,,15,1,Turu,2,13,3.5,1,1,18.916923639958,{08EEF334-8DEA-4A60-B5FF-EC932180695D}
29387,,15,13,Ülenurme,2,13,4,1,1,7.90121933088198,{ECFB0B6F-3F68-400B-B8AF-BB9621AD018F}
29391,,15,1,Ülenurme,2,13,4,1,1,22.8054817971481,{5A9F5456-ED46-4692-932B-FDC4F6DD46A1}
29392,,15,1,Võru,2,10,3.4,1,1,18.5827877348906,{DDA68E96-07C1-421C-B2A8-38A35F40DB97}
29393,,15,1,Võru,2,10,3.1,1,1,5.34602656184946,{A827936E-B58E-4D9D-B73E-F916F53C9094}
29408,,15,1,Võru,2,10,3.4,1,1,9.15478017212866,{72763D30-250D-4B13-B5AC-E83063F2951F}
29421,,15,1,Lõõtsa,3,19,4.1,0,1,216.87055441249,{8C217D42-4391-4595-97D0-0542081D0EFD}
29425,,15,13,Võru,2,10,2.5,1,1,9.9991903071679,{FE66C40C-1CF7-4A7C-91DB-3F1C5A1472CF}
29437,,15,13,Ringtee,2,10,3.1,1,1,16.3630530410422,{7AC96C4F-B12E-4533-BF33-ABB3FF8084BF}
29442,,15,1,Lõõtsa,2,19,4.1,0,1,16.2345724443597,{674528F9-288E-4AD6-B481-156C056D8385}
29452,,15,1,Turu,2,13,3.5,1,1,34.9413794804956,{E4798597-CB0C-493F-96F8-167F303F9B11}
29474,,15,13,Turu,2,13,3.5,1,1,11.4234999395603,{BE476221-6CDB-4864-9762-73296E41FAFE}
29479,,16,12,<Null>,0,10,3,,,21.5147118829233,{AAE20C39-FB25-4664-92C5-5771F90026FC}
29480,,16,1,Ringtee,2,10,3,0,,132.607211881077,{FCC0EBF9-B1DF-4094-8D33-09351CEC1F01}
29489,,15,1,Ringtee,1,10,3.5,0,1,321.475134543234,{3AC05329-63E3-4001-A922-333D70F3A522}
